replicate,r2,status
379,-0.08510709985936504,ok
380,-0.09708849209942039,ok
381,-0.026693627075754067,ok
382,-0.11786700165719632,ok
383,-0.1103371493089127,ok
384,-0.15083748465833846,ok
385,-0.06074155931620262,ok
386,-0.06434638742589915,ok
387,-0.09598407023640498,ok
388,-0.08412515092552653,ok
389,-0.12607958734312374,ok
390,-0.10430250056329204,ok
391,-0.09619371391380893,ok
392,-0.08840000208710985,ok
393,-0.076021404972904,ok
394,-0.10225323955982213,ok
395,-0.1015598200780008,ok
396,-0.06701652767817912,ok
397,-0.13416026627711908,ok
398,-0.11385136413373642,ok
399,-0.07174480706182851,ok
400,-0.1074141520348959,ok
401,-0.10013848086344113,ok
402,-0.08661431578815493,ok
403,-0.08367833444168138,ok
404,-0.10961306638495105,ok
405,-0.07328246598214583,ok
406,-0.10359924713875679,ok
407,-0.10176323853044167,ok
408,-0.08407020055920844,ok
409,-0.10350780942167281,ok
410,-0.11002443239404025,ok
411,-0.13704133667999918,ok
412,-0.11008533211045957,ok
413,-0.0770917572445704,ok
414,-0.1317990658200574,ok
415,-0.09725903628434907,ok
416,-0.10058062242913612,ok
417,-0.10565862768546541,ok
418,-0.0951432440742579,ok
419,-0.07841942530211599,ok
420,-0.10462942666986708,ok
421,-0.1039926356577705,ok
422,-0.05620328040122158,ok
423,-0.13090615557526508,ok
424,-0.10086892181774232,ok
425,-0.061189582030075185,ok
426,-0.086120101818002,ok
427,-0.09639436329687645,ok
428,-0.061144317250796165,ok
429,-0.06916156320402878,ok
430,-0.1043252668223007,ok
431,-0.13360159941626115,ok
432,-0.10481647320731313,ok
433,-0.08067420167347916,ok
434,-0.047823621646523984,ok
435,-0.09267841592212012,ok
436,-0.09227423757147224,ok
437,-0.046274079647596666,ok
438,-0.11771147488455092,ok
439,-0.08085967848592568,ok
440,-0.07617877450375476,ok
441,-0.06199404647558038,ok
442,-0.12810847545940396,ok
443,-0.14192136687343804,ok
444,-0.09650860664422978,ok
445,-0.07908439590649063,ok
446,-0.05235102970676464,ok
447,-0.08735042405715454,ok
448,-0.10818050707803151,ok
449,-0.13206796620126426,ok
450,-0.10042453211967084,ok
451,-0.09692618938942688,ok
452,-0.1049418838885341,ok
453,-0.10724662515706829,ok
454,-0.08757960440940749,ok
455,-0.08487541056182635,ok
456,-0.07102774841628845,ok
457,-0.06504237132066848,ok
458,-0.131567473030332,ok
459,-0.06503169864488645,ok
460,-0.10164493828758525,ok
461,-0.04199528900659533,ok
462,-0.09135022316466856,ok
463,-0.14883125896841198,ok
464,-0.08027326904485976,ok
465,-0.09210810898066168,ok
466,-0.0948383404864277,ok
467,-0.036831410826360544,ok
468,-0.10124426805321951,ok
469,-0.09494851883129174,ok
470,-0.12729560689805197,ok
471,-0.09783597968439461,ok
472,-0.10839710459709351,ok
473,-0.09495935998453198,ok
474,-0.08302837369413352,ok
475,-0.08183025242575126,ok
476,-0.07897539141311083,ok
477,-0.10946569566830666,ok
478,-0.13810498651036052,ok
479,-0.05023605918069585,ok
480,-0.11248301980592279,ok
481,-0.052668105285673894,ok
482,-0.13771043321719412,ok
483,-0.08558571920800007,ok
484,-0.10041215389638469,ok
485,-0.0799645266529021,ok
486,-0.11631420609240517,ok
487,-0.12902306011387354,ok
488,-0.09317751408740471,ok
489,-0.07468076772393606,ok
490,-0.11384460646057781,ok
491,-0.11173559835678093,ok
492,-0.11339276869204462,ok
493,-0.07014033157638777,ok
494,-0.09720613725051153,ok
495,-0.039030918688689464,ok
496,-0.10425279251919362,ok
497,-0.13466566547488745,ok
