replicate,delta_r2,observed_delta
492,0.07130157568106765,0.0352320913883896
493,0.12467401929316979,0.0352320913883896
494,0.033718588604271904,0.0352320913883896
495,0.06324413079674207,0.0352320913883896
496,0.11852524274455811,0.0352320913883896
497,0.09889867461469326,0.0352320913883896
498,0.07594071574387506,0.0352320913883896
499,0.03660527414806003,0.0352320913883896
500,0.05286140392735683,0.0352320913883896
501,0.08585426301917332,0.0352320913883896
502,0.10033814838504007,0.0352320913883896
503,0.031528159424895175,0.0352320913883896
504,0.09929699141478376,0.0352320913883896
505,0.06977511310025408,0.0352320913883896
506,0.11267312000342711,0.0352320913883896
507,0.12242342608421519,0.0352320913883896
508,0.09141910424077582,0.0352320913883896
509,0.012611119411355398,0.0352320913883896
510,0.12830846854707512,0.0352320913883896
511,0.02999823683862568,0.0352320913883896
512,0.10424800430921177,0.0352320913883896
513,0.04290699814578103,0.0352320913883896
514,0.011292911769522296,0.0352320913883896
515,0.11814523747366412,0.0352320913883896
516,0.08252397599648753,0.0352320913883896
517,0.00801611604270569,0.0352320913883896
518,0.11574669938123905,0.0352320913883896
519,0.08833545562323941,0.0352320913883896
520,0.046193883996894725,0.0352320913883896
521,0.12254105561199735,0.0352320913883896
522,0.09778564030643566,0.0352320913883896
523,0.030220831431905126,0.0352320913883896
524,0.019906220109785266,0.0352320913883896
525,0.09794961000702385,0.0352320913883896
526,0.10340954702219995,0.0352320913883896
527,0.09370984212802269,0.0352320913883896
528,0.08909751158651125,0.0352320913883896
529,0.07949309932564053,0.0352320913883896
530,0.029816649942550733,0.0352320913883896
531,0.0593964892173553,0.0352320913883896
532,0.06578891366486694,0.0352320913883896
533,0.08292810741005485,0.0352320913883896
534,0.09626291835745826,0.0352320913883896
535,0.09821616325213,0.0352320913883896
536,0.045209584992687124,0.0352320913883896
537,0.1171823830956551,0.0352320913883896
538,0.11588388116878545,0.0352320913883896
539,0.04110485584693668,0.0352320913883896
540,0.06662265799250056,0.0352320913883896
541,0.10583483054545961,0.0352320913883896
542,0.05884655467740241,0.0352320913883896
543,0.0787452976674492,0.0352320913883896
544,0.1250481879567028,0.0352320913883896
545,0.05990307335409473,0.0352320913883896
546,0.0695740927789944,0.0352320913883896
547,0.043498184984703925,0.0352320913883896
548,0.0800369574382892,0.0352320913883896
549,-0.008355270320981822,0.0352320913883896
550,0.058897206558288895,0.0352320913883896
551,0.05754486726081742,0.0352320913883896
552,0.020683742090824908,0.0352320913883896
553,0.13041041599519176,0.0352320913883896
554,0.10978299711188744,0.0352320913883896
555,0.04198729167546278,0.0352320913883896
556,0.09825273379110755,0.0352320913883896
557,-0.033829330931608226,0.0352320913883896
558,0.07222747584251554,0.0352320913883896
559,0.07475113626284535,0.0352320913883896
560,0.07227957020362552,0.0352320913883896
561,0.09813362278941118,0.0352320913883896
562,0.09646642327705302,0.0352320913883896
563,0.0846243159470903,0.0352320913883896
564,0.06161984933345144,0.0352320913883896
565,0.08333703912908497,0.0352320913883896
566,0.030199485488024758,0.0352320913883896
567,0.09269251470682083,0.0352320913883896
568,0.10165841401459375,0.0352320913883896
569,0.0610244715498951,0.0352320913883896
570,0.03821402873430224,0.0352320913883896
571,0.0907635757568056,0.0352320913883896
572,0.07007617235074359,0.0352320913883896
573,0.04748448274721084,0.0352320913883896
574,0.07148720357267346,0.0352320913883896
575,0.08780541280749898,0.0352320913883896
576,0.050525378945140864,0.0352320913883896
577,0.025294607638757127,0.0352320913883896
578,0.10373320209346704,0.0352320913883896
579,0.015357504778398257,0.0352320913883896
580,0.05942239026155627,0.0352320913883896
581,0.03226872332557429,0.0352320913883896
582,0.0868435157221139,0.0352320913883896
583,0.07557304629916195,0.0352320913883896
584,0.07412985968041719,0.0352320913883896
585,0.09323762904499155,0.0352320913883896
586,0.07261050756022591,0.0352320913883896
587,0.010391341667854936,0.0352320913883896
588,0.051518421615282084,0.0352320913883896
589,0.030614763959717406,0.0352320913883896
590,0.030565061404869143,0.0352320913883896
591,0.07528056377446535,0.0352320913883896
592,0.06150814894908729,0.0352320913883896
593,0.08098794762926975,0.0352320913883896
594,0.03148342622027944,0.0352320913883896
595,0.07802457810869778,0.0352320913883896
596,0.03802292079376579,0.0352320913883896
597,0.036854738246545504,0.0352320913883896
