excluded_source_chromosome,subset,scope,metric,estimate,full_estimate,difference_from_full,denominator,source_chromosomes_retained,null_finite_replicates,null_denominator_median,permutation_p_upper,strata_frozen,permutation_mappings_frozen
11,primary,Rest,direction_agreement,0.7453416149068323,0.7423312883435583,0.003010326563273935,161,16,1000,50.0,0.06293706293706294,True,True
11,primary,Rest,score_spearman,0.47004169033622395,0.4642587211814317,0.005782969154792261,161,16,1000,50.0,0.06693306693306693,True,True
11,primary,Stim8hr,direction_agreement,0.5112781954887218,0.5147058823529411,-0.003427686864219348,133,14,1000,66.0,0.36563436563436563,True,True
11,primary,Stim8hr,score_spearman,-0.0035130378507294145,0.019920285026256597,-0.02343332287698601,133,14,1000,66.0,0.5554445554445554,True,True
11,primary,Stim48hr,direction_agreement,0.464,0.4603174603174603,0.0036825396825397316,125,14,1000,86.5,0.7492507492507493,True,True
11,primary,Stim48hr,score_spearman,-0.005765117321119327,-0.004536081466409906,-0.0012290358547094203,125,14,1000,86.5,0.6853146853146853,True,True
11,bonferroni,overall,direction_agreement,0.5263157894736842,0.5324675324675324,-0.0061517429938482415,152,12,1000,56.0,0.4775224775224775,True,True
11,bonferroni,overall,score_spearman,0.16739991869940157,0.18517063497338632,-0.017770716273984744,152,12,1000,56.0,0.38961038961038963,True,True
11,bonferroni,Rest,direction_agreement,0.7719298245614035,0.7719298245614035,0.0,57,11,1000,14.0,0.13886113886113885,True,True
11,bonferroni,Rest,score_spearman,0.4709638834504549,0.4709638834504549,0.0,57,11,979,14.0,0.15816326530612246,True,True
11,bonferroni,Stim8hr,direction_agreement,0.32608695652173914,0.3541666666666667,-0.02807971014492755,46,9,1000,18.0,0.8441558441558441,True,True
11,bonferroni,Stim8hr,score_spearman,-0.08567382982350186,0.004113076543803678,-0.08978690636730553,46,9,986,18.0,0.7102330293819655,True,True
11,bonferroni,Stim48hr,direction_agreement,0.42857142857142855,0.42857142857142855,0.0,49,8,1000,21.0,0.7792207792207793,True,True
11,bonferroni,Stim48hr,score_spearman,0.01726221720740294,0.01726221720740294,0.0,49,8,989,22.0,0.6636363636363637,True,True
12,primary,overall,direction_agreement,0.5717761557177615,0.5858823529411765,-0.014106197223414996,411,18,1000,212.0,0.19080919080919082,True,True
12,primary,overall,score_spearman,0.181900964876103,0.20242085916217342,-0.020519894286070428,411,18,1000,212.0,0.17482517482517482,True,True
12,primary,Rest,direction_agreement,0.7218543046357616,0.7423312883435583,-0.020476983707796714,151,16,1000,49.0,0.08491508491508491,True,True
12,primary,Rest,score_spearman,0.43862855101815273,0.4642587211814317,-0.025630170163278954,151,16,1000,49.0,0.08191808191808192,True,True
12,primary,Stim8hr,direction_agreement,0.5111111111111111,0.5147058823529411,-0.0035947712418300526,135,14,1000,66.0,0.3776223776223776,True,True
12,primary,Stim8hr,score_spearman,0.01897034762042575,0.019920285026256597,-0.000949937405830846,135,14,1000,66.0,0.5354645354645354,True,True
12,primary,Stim48hr,direction_agreement,0.456,0.4603174603174603,-0.0043174603174602755,125,14,1000,85.5,0.7912087912087912,True,True
