response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
9079,PCBD1,Stim8hr,2,1,1,0.5
9252,PER1,Stim48hr,2,1,1,0.5
9253,PER2,Rest,1,0,1,0.0
9255,PER2,Stim8hr,1,0,1,0.0
9364,PHF8,Rest,10,7,3,0.7
9365,PHF8,Stim48hr,314,192,122,0.6114649681528662
9366,PHF8,Stim8hr,55,35,20,0.6363636363636364
9405,PIAS1,Rest,92,55,37,0.5978260869565217
9406,PIAS2,Rest,2,0,2,0.0
9407,PIAS2,Stim48hr,1,1,0,1.0
9500,PIR,Stim8hr,1,0,1,0.0
9535,PKNOX1,Rest,182,107,75,0.5879120879120879
9536,PKNOX1,Stim48hr,274,171,103,0.6240875912408759
9537,PKNOX1,Stim8hr,264,163,101,0.6174242424242424
9664,PML,Rest,1,0,1,0.0
9765,POU2AF1,Stim48hr,2,2,0,1.0
9766,POU2AF1,Stim8hr,2,2,0,1.0
9767,POU2F2,Rest,1,1,0,1.0
9768,POU2F2,Stim48hr,15,10,5,0.6666666666666666
9769,POU2F2,Stim8hr,5,5,0,1.0
9770,PPARA,Rest,10,5,5,0.5
9771,PPARA,Stim48hr,6,4,2,0.6666666666666666
9772,PPARA,Stim8hr,15,8,7,0.5333333333333333
9773,PPARD,Rest,1,1,0,1.0
9774,PPARD,Stim48hr,1,1,0,1.0
10242,PURA,Rest,4,2,2,0.5
10243,PURA,Stim48hr,1,0,1,0.0
10244,PURA,Stim8hr,2,1,1,0.5
10525,RARA,Rest,14,10,4,0.7142857142857143
10526,RARA,Stim48hr,7,3,4,0.42857142857142855
10527,RARA,Stim8hr,20,13,7,0.65
10528,RARG,Rest,2,2,0,1.0
10529,RARG,Stim48hr,1,0,1,0.0
10530,RARG,Stim8hr,1,0,1,0.0
10567,RB1,Stim48hr,1,0,1,0.0
10569,RB1CC1,Rest,391,231,160,0.5907928388746803
10570,RB1CC1,Stim48hr,580,361,219,0.6224137931034482
10571,RB1CC1,Stim8hr,901,543,358,0.6026637069922308
10580,RBL2,Rest,3,1,2,0.3333333333333333
10581,RBL2,Stim48hr,2,2,0,1.0
10582,RBL2,Stim8hr,8,5,3,0.625
10619,RBPJ,Rest,60,37,23,0.6166666666666667
10620,RBPJ,Stim48hr,119,70,49,0.5882352941176471
10621,RBPJ,Stim8hr,56,34,22,0.6071428571428571
10684,REL,Rest,2,2,0,1.0
10685,REL,Stim48hr,1,0,1,0.0
10686,REL,Stim8hr,79,47,32,0.5949367088607594
10687,RELA,Rest,3,2,1,0.6666666666666666
10688,RELA,Stim48hr,37,21,16,0.5675675675675675
10689,RELA,Stim8hr,105,69,36,0.6571428571428571
10690,RELB,Rest,2,1,1,0.5
10691,RELB,Stim48hr,2,1,1,0.5
10692,RELB,Stim8hr,1,1,0,1.0
10702,REPIN1,Rest,1,0,1,0.0
10703,REPIN1,Stim48hr,2,0,2,0.0
10704,REPIN1,Stim8hr,1,1,0,1.0
10726,RFX1,Rest,194,89,105,0.4587628865979381
10727,RFX1,Stim48hr,164,78,86,0.47560975609756095
10728,RFX1,Stim8hr,293,162,131,0.552901023890785
10732,RFX5,Rest,16,9,7,0.5625
10733,RFX5,Stim48hr,13,10,3,0.7692307692307693
10734,RFX5,Stim8hr,12,6,6,0.5
11019,RREB1,Rest,47,23,24,0.48936170212765956
11020,RREB1,Stim48hr,34,18,16,0.5294117647058824
11021,RREB1,Stim8hr,76,44,32,0.5789473684210527
11072,RUNX3,Rest,8,5,3,0.625
11137,SAMD9L,Rest,2,0,2,0.0
11138,SAMD9L,Stim48hr,3,1,2,0.3333333333333333
11139,SAMD9L,Stim8hr,1,1,0,1.0
11195,SCAND1,Rest,1,0,1,0.0
11196,SCAND1,Stim48hr,3,2,1,0.6666666666666666
11197,SCAND1,Stim8hr,1,0,1,0.0
11263,SEC14L2,Rest,1140,669,471,0.5868421052631579
11264,SEC14L2,Stim48hr,101,59,42,0.5841584158415841
11265,SEC14L2,Stim8hr,70,51,19,0.7285714285714285
11404,SETBP1,Stim48hr,1,0,1,0.0
11564,SIN3A,Rest,161,100,61,0.6211180124223602
11565,SIN3A,Stim48hr,2,2,0,1.0
11566,SIN3A,Stim8hr,31,18,13,0.5806451612903226
11581,SIRT3,Rest,4,1,3,0.25
11582,SIRT3,Stim48hr,1,0,1,0.0
11608,SKI,Rest,22,5,17,0.22727272727272727
11609,SKI,Stim8hr,4,1,3,0.25
11611,SKIL,Stim48hr,1,1,0,1.0
11613,SLA2,Stim48hr,3,0,3,0.0
11614,SLA2,Stim8hr,39,19,20,0.48717948717948717
11983,SMAD1,Stim48hr,1,1,0,1.0
11984,SMAD1,Stim8hr,2,2,0,1.0
11985,SMAD3,Stim8hr,470,252,218,0.5361702127659574
11986,SMAD4,Rest,113,66,47,0.584070796460177
11987,SMAD4,Stim48hr,73,49,24,0.6712328767123288
11988,SMAD4,Stim8hr,24,16,8,0.6666666666666666
11999,SMARCA4,Stim48hr,300,192,108,0.64
12000,SMARCA4,Stim8hr,164,111,53,0.676829268292683
12007,SMARCB1,Rest,2129,1191,938,0.5594175669328323
12008,SMARCB1,Stim8hr,1920,1113,807,0.5796875
12082,SMURF2,Rest,1,0,1,0.0
12083,SMURF2,Stim48hr,1,0,1,0.0
12101,SND1,Rest,25,14,11,0.56
12102,SND1,Stim48hr,362,200,162,0.5524861878453039
12103,SND1,Stim8hr,104,62,42,0.5961538461538461
12195,SP1,Rest,128,83,45,0.6484375
12196,SP1,Stim48hr,406,243,163,0.5985221674876847
12197,SP1,Stim8hr,221,129,92,0.583710407239819
12198,SP100,Stim8hr,306,187,119,0.6111111111111112
12205,SP2,Rest,381,220,161,0.5774278215223098
12206,SP2,Stim48hr,1020,613,407,0.6009803921568627
12207,SP2,Stim8hr,1670,999,671,0.5982035928143713
12208,SP3,Rest,15,11,4,0.7333333333333333
12209,SP3,Stim48hr,112,89,23,0.7946428571428571
