target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
SP3,Rest,CREB1,motif,11,0.07272727272727274,0.004654545454545457,-0.14545454545454545,0.2909090909090909,0.6133866133866134,underpowered,1.0,False
SP3,Rest,CREB1,signed_curated,11,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Rest,EGR1,motif,11,0.07272727272727274,-0.00047272727272727456,-0.03636363636363637,0.07545454545454298,0.3046953046953047,underpowered,1.0,False
SP3,Rest,EGR1,signed_curated,11,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Rest,HIF1A,motif,11,0.09090909090909091,0.005054545454545451,-0.1272727272727273,0.2,0.6093906093906094,underpowered,1.0,False
SP3,Rest,HIF1A,signed_curated,11,-0.018181818181818184,-0.00018181818181818498,-0.018181818181818184,0.09090909090909091,1.0,underpowered,1.0,False
SP3,Rest,USF1,motif,11,0.23636363636363636,0.001163636363636364,-0.09090909090909091,0.23636363636363636,0.04295704295704296,underpowered,0.8400488400488402,False
SP3,Rest,USF1,signed_curated,11,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
SP3,Stim48hr,CEBPB,motif,89,-0.006741573033707864,-0.00022921348314606694,-0.06067415730337079,0.0741573033707865,1.0,estimable,1.0,False
SP3,Stim48hr,CEBPB,signed_curated,89,-0.0022471910112359553,-2.2471910112359884e-05,-0.0022471910112359553,0.011235955056179775,1.0,estimable,1.0,False
SP3,Stim48hr,CREB1,motif,89,0.024719101123595502,-0.002894382022471909,-0.08314606741573033,0.07865168539325842,0.6453546453546454,estimable,1.0,False
SP3,Stim48hr,CREB1,signed_curated,89,-0.0044943820224719105,-4.494382022472001e-06,-0.0044943820224719105,0.02247191011235955,1.0,estimable,1.0,False
SP3,Stim48hr,EGR1,motif,89,0.020224719101123598,-0.000620224719101124,-0.03370786516853933,0.047191011235955066,0.5794205794205795,estimable,1.0,False
SP3,Stim48hr,EGR1,signed_curated,89,0.0022471910112359544,4.943820224719051e-05,-0.011235955056179775,0.015730337078651686,1.0,estimable,1.0,False
