analysis,target,leave_one_target_coefficient,change
molecular_any_fraction:correlation_all,ELK1,-0.01902244032571433,0.001234718572832326
molecular_any_fraction:correlation_all,ELK3,-0.01974747892824583,0.0005096799703008248
molecular_any_fraction:correlation_all,ELK4,-0.02126491862807557,-0.0010077597295289169
molecular_any_fraction:correlation_all,EP300,-0.019965990876601614,0.0002911680219450409
molecular_any_fraction:correlation_all,EPAS1,-0.020343134834667157,-8.597593612050258e-05
molecular_any_fraction:correlation_all,ESRRA,-0.019786582038339568,0.00047057686020708644
molecular_any_fraction:correlation_all,ETS2,-0.01721178896584549,0.0030453699327011655
molecular_any_fraction:correlation_all,ETV3,-0.020503368852455985,-0.0002462099539093307
molecular_any_fraction:correlation_all,ETV6,-0.02126503939804275,-0.0010078804994960965
molecular_any_fraction:correlation_all,FOS,-0.02081011389937937,-0.0005529550008327166
molecular_any_fraction:correlation_all,FOSL2,-0.020487451762597444,-0.00023029286405078925
molecular_any_fraction:correlation_all,FOXK2,-0.019825524031289763,0.0004316348672568915
molecular_any_fraction:correlation_all,FOXO4,-0.01892518014787061,0.0013319787506760432
molecular_any_fraction:correlation_all,FOXP3,-0.02109571097204625,-0.0008385520734995947
molecular_any_fraction:correlation_all,FUBP1,-0.020313737094604017,-5.657819605736289e-05
molecular_any_fraction:correlation_all,FUS,-0.020763983785374314,-0.0005068248868276594
molecular_any_fraction:correlation_all,GATA3,-0.020439102455703607,-0.0001819435571569529
molecular_any_fraction:correlation_all,GTF2A1,-0.020630452522676437,-0.0003732936241297828
molecular_any_fraction:correlation_all,GTF2I,-0.019888571804827598,0.0003685870937190569
molecular_any_fraction:correlation_all,HBP1,-0.019398710746346894,0.000858448152199761
molecular_any_fraction:correlation_all,HDAC1,-0.020117416475259435,0.0001397424232872195
molecular_any_fraction:correlation_all,HDAC2,-0.024233384194995364,-0.003976225296448709
molecular_any_fraction:correlation_all,HDAC5,-0.019858494195540834,0.0003986647030058202
molecular_any_fraction:correlation_all,HEXIM1,-0.02023049682126277,2.6662077283884367e-05
molecular_any_fraction:correlation_all,HIC1,-0.02023304532563882,2.4113572907834974e-05
molecular_any_fraction:correlation_all,HIPK2,-0.020071965149945577,0.00018519374860107712
molecular_any_fraction:correlation_all,HLTF,-0.021412687099152755,-0.0011555282006061006
molecular_any_fraction:correlation_all,HMG20B,-0.02026520479794024,-8.045899393585576e-06
molecular_any_fraction:correlation_all,HMGB2,-0.020641776985133743,-0.00038461808658708796
molecular_any_fraction:correlation_all,HMGN1,-0.020314693037430158,-5.7534138883503366e-05
molecular_any_fraction:correlation_all,HNRNPD,-0.02021743826636422,3.9720632182434906e-05
molecular_any_fraction:correlation_all,HSF2,-0.021671490357763504,-0.0014143314592168499
molecular_any_fraction:correlation_all,HSF4,-0.02025741293897285,-2.540404261952567e-07
molecular_any_fraction:correlation_all,HTATIP2,-0.01746806027133904,0.002789098627207616
molecular_any_fraction:correlation_all,ID3,-0.021228787490524537,-0.0009716285919778821
molecular_any_fraction:correlation_all,IFI16,-0.020723819980091755,-0.0004666610815451007
molecular_any_fraction:correlation_all,IKBKB,-0.020449177541257964,-0.00019201864271130992
molecular_any_fraction:correlation_all,IKZF1,-0.02040616266163122,-0.000149003763084566
molecular_any_fraction:correlation_all,ING4,-0.02041330904008755,-0.00015615014154089432
molecular_any_fraction:correlation_all,INSM1,-0.019165077300690364,0.0010920815978562905
molecular_any_fraction:correlation_all,IRF4,-0.019478398877540774,0.0007787600210058809
molecular_any_fraction:correlation_all,IRF7,-0.02104121738061336,-0.0007840584820667067
molecular_any_fraction:correlation_all,JUNB,-0.019833237581846037,0.00042392131670061783
molecular_any_fraction:correlation_all,JUND,-0.020608653141802734,-0.0003514942432560793
molecular_any_fraction:correlation_all,KAT2B,-0.0200184153122671,0.00023874358627955575
molecular_any_fraction:correlation_all,KDM4B,-0.020607307126289692,-0.00035014822774303775
molecular_any_fraction:correlation_all,KDM4C,-0.01878542688015631,0.0014717320183903447
molecular_any_fraction:correlation_all,KLF11,-0.019921933249106218,0.00033522564944043695
molecular_any_fraction:correlation_all,KLF13,-0.0205505109822937,-0.0002933520837470442
molecular_any_fraction:correlation_all,KLF2,-0.019666976976329274,0.000590181922217381
molecular_any_fraction:correlation_all,KLF6,-0.020330951015393006,-7.379211684635165e-05
molecular_any_fraction:correlation_all,KLF9,-0.020299243733043808,-4.2084834497153195e-05
molecular_any_fraction:correlation_all,LDB1,-0.021553308333508183,-0.0012961494349615285
molecular_any_fraction:correlation_all,LIMD1,-0.020820520756965204,-0.0005633618584185499
molecular_any_fraction:correlation_all,MAF,-0.020271301584053995,-1.4142685507340103e-05
molecular_any_fraction:correlation_all,MAL,-0.017969585568773712,0.0022875733297729427
molecular_any_fraction:correlation_all,MAML1,-0.019037627632336414,0.0012195312662102407
molecular_any_fraction:correlation_all,MAX,-0.020513372186695578,-0.00025621328814892305
molecular_any_fraction:correlation_all,MED15,-0.020149342485608516,0.0001078164129381387
molecular_any_fraction:correlation_all,MED23,-0.021231869978863553,-0.0009747110803168986
molecular_any_fraction:correlation_all,MEF2D,-0.0203362647085872,-7.910581004054451e-05
molecular_any_fraction:correlation_all,MTA1,-0.021672826070009116,-0.0014156671714624612
molecular_any_fraction:correlation_all,MXD4,-0.018688532417648757,0.001568626480897898
molecular_any_fraction:correlation_all,MXI1,-0.019984617209655952,0.00027254168889070257
molecular_any_fraction:correlation_all,MYB,-0.020292355203103428,-3.519630455677339e-05
molecular_any_fraction:correlation_all,MYBL1,-0.01846236396740054,0.001794794931146114
molecular_any_fraction:correlation_all,NAB2,-0.020188367302896165,6.879159565048934e-05
molecular_any_fraction:correlation_all,NCOA1,-0.020479306548187123,-0.00022214764964046882
molecular_any_fraction:correlation_all,NCOA6,-0.020663960017533626,-0.00040680111898697136
molecular_any_fraction:correlation_all,NF1,-0.020360129368711465,-0.0001029704701648107
molecular_any_fraction:correlation_all,NFATC3,-0.020301406493296186,-4.4247594749531605e-05
molecular_any_fraction:correlation_all,NFKB1,-0.019982210033725835,0.0002749488648208197
molecular_any_fraction:correlation_all,NFKB2,-0.020302461713536703,-4.530281499004821e-05
molecular_any_fraction:correlation_all,NFKBIA,-0.019859846362003556,0.0003973125365430985
molecular_any_fraction:correlation_all,NFRKB,-0.02024483962667039,1.2319271876264776e-05
molecular_any_fraction:correlation_all,NONO,-0.020276022293308254,-1.8863394761599317e-05
molecular_any_fraction:correlation_all,NR1H2,-0.021301624428691608,-0.0010444655301449536
molecular_any_fraction:correlation_all,NR2C2,-0.020202439723299586,5.471917524706854e-05
molecular_any_fraction:correlation_all,NR3C1,-0.019821916812595167,0.00043524208595148786
molecular_any_fraction:correlation_all,NR4A3,-0.020433845483338924,-0.00017668658479226898
molecular_any_fraction:correlation_all,PCBD1,-0.020164302929458672,9.28559690879828e-05
molecular_any_fraction:correlation_all,PER2,-0.020796045602791115,-0.0005388867042444602
molecular_any_fraction:correlation_all,PHF8,-0.02001419185596953,0.00024296704257712604
molecular_any_fraction:correlation_all,PIAS1,-0.019899646088084286,0.00035751281046236816
molecular_any_fraction:correlation_all,PIAS2,-0.019707510060298,0.0005496488382486543
molecular_any_fraction:correlation_all,PIR,-0.019471131501493516,0.0007860273970531385
molecular_any_fraction:correlation_all,PKNOX1,-0.02022126656211055,3.5892336436103844e-05
molecular_any_fraction:correlation_all,POU2AF1,-0.018898853556293883,0.0013583053422527719
molecular_any_fraction:correlation_all,POU2F2,-0.02090275335189218,-0.0006455944533455271
molecular_any_fraction:correlation_all,PPARA,-0.02027763942862117,-2.0480530074515335e-05
molecular_any_fraction:correlation_all,PURA,-0.021710328786331567,-0.0014531698877849122
molecular_any_fraction:correlation_all,RARG,-0.020251746938152577,5.41196039407707e-06
molecular_any_fraction:correlation_all,RB1,-0.02109646989420087,-0.0008393109956542147
molecular_any_fraction:correlation_all,RBL2,-0.019640281533611734,0.0006168773649349209
molecular_any_fraction:correlation_all,RBPJ,-0.020336684241516273,-7.952534296961841e-05
molecular_any_fraction:correlation_all,REL,-0.02057658976341873,-0.00031943086487207575
