target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
SREBF2,Rest,0.16666666666666666,0.5,6
SREBF2,Stim48hr,0.07608695652173914,0.6413043478260869,92
SREBF2,Stim8hr,0.18181818181818182,0.8181818181818182,11
STAT1,Rest,0.35294117647058826,0.8235294117647058,17
STAT1,Stim48hr,0.0,1.0,1
STAT1,Stim8hr,0.17777777777777778,0.7555555555555555,45
STAT2,Rest,0.047619047619047616,0.6666666666666666,42
STAT2,Stim48hr,0.1,0.8,20
STAT2,Stim8hr,0.09375,0.78125,32
STAT3,Rest,0.10497835497835498,0.670995670995671,924
STAT3,Stim48hr,0.114321608040201,0.6652010050251256,1592
STAT3,Stim8hr,0.10445580715850986,0.6617969320672024,1369
STAT5A,Rest,0.0,0.125,8
STAT5A,Stim48hr,0.0,0.7,260
STAT5A,Stim8hr,0.0,0.5,18
STAT6,Rest,0.0,0.5,2
STAT6,Stim48hr,0.001774622892635315,0.5980479148181012,1127
STAT6,Stim8hr,0.008620689655172414,0.6637931034482759,232
SUPT3H,Rest,0.0,0.6630824372759857,558
SUPT3H,Stim48hr,0.0,1.0,1
TBC1D22A,Rest,0.0,0.5,2
TBC1D22A,Stim48hr,0.0,0.5,2
TBC1D22A,Stim8hr,0.0,0.5,2
TBPL1,Rest,0.0,0.4782608695652174,23
TBPL1,Stim48hr,0.0,0.6666666666666666,57
TBPL1,Stim8hr,0.0,0.6,25
TBX21,Rest,0.02564102564102564,0.717948717948718,39
TBX21,Stim48hr,0.004975124378109453,0.6218905472636815,402
TBX21,Stim8hr,0.003257328990228013,0.6254071661237784,307
TCF3,Stim48hr,0.0,1.0,2
TCF3,Stim8hr,0.0,1.0,1
TCF7,Rest,0.0,0.5,2
TCF7,Stim8hr,0.0,0.5,2
TCFL5,Rest,0.0,0.4827586206896552,29
TFAP4,Rest,0.0,0.7142857142857143,112
TFAP4,Stim48hr,0.0,0.6326963906581741,471
TFAP4,Stim8hr,0.0,0.6363636363636364,198
TFCP2,Stim8hr,0.0,0.5,2
TFDP1,Stim48hr,0.008264462809917356,0.6611570247933884,121
TFDP1,Stim8hr,0.002277904328018223,0.5603644646924829,439
TGIF1,Rest,0.0,0.5714285714285714,7
TGIF1,Stim48hr,0.0,0.4,5
TGIF1,Stim8hr,0.0,0.5833333333333334,36
THRA,Stim48hr,0.0,0.7227722772277227,101
TLE5,Rest,0.0,0.5,2
TLE5,Stim8hr,0.0,0.6666666666666666,3
TOB1,Stim48hr,0.0,0.6666666666666666,3
TOP2B,Rest,0.0,0.5757575757575758,99
TOP2B,Stim48hr,0.0,1.0,3
TOP2B,Stim8hr,0.0,0.3333333333333333,3
TP53BP1,Rest,0.0,0.5833333333333334,12
TP53BP1,Stim48hr,0.0,0.5,2
TP53BP1,Stim8hr,0.0,0.75,4
TP73,Rest,0.0,0.6990291262135923,103
TP73,Stim8hr,0.00909090909090909,0.6909090909090909,110
TRAF6,Stim48hr,0.0,0.7575757575757576,33
TRERF1,Rest,0.0,0.625,8
TRERF1,Stim8hr,0.0,0.5,4
TRIB3,Rest,0.0,0.6666666666666666,6
TRIB3,Stim48hr,0.0,1.0,1
TRIB3,Stim8hr,0.0,0.25,4
TRIM22,Rest,0.0,0.6,5
TRIM22,Stim48hr,0.0,0.36363636363636365,11
TRIM25,Rest,0.0,0.5,26
TRIM25,Stim48hr,0.0,0.627906976744186,43
TRIM25,Stim8hr,0.0,0.5306122448979592,49
TRPS1,Rest,0.0,1.0,1
TRRAP,Rest,0.001763668430335097,0.6119929453262787,567
TRRAP,Stim48hr,0.0,0.7058823529411765,34
TRRAP,Stim8hr,0.0,0.5812101910828026,1256
TSC22D3,Stim48hr,0.0,0.0,1
UBTF,Stim8hr,0.0,0.4,10
USF1,Rest,0.0,0.5,4
USF1,Stim48hr,0.0,0.4444444444444444,9
USF1,Stim8hr,0.0,0.625,8
VDR,Stim48hr,0.0,1.0,1
VDR,Stim8hr,0.0,1.0,1
