culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,spline,0.2728252775366687,-0.006004067914572586,5.0,,,
Rest,spline,0.28180274324609256,0.002404281446868939,5.0,,,
Rest,spline,0.2907802089555164,0.011062165086617837,5.0,,,
Rest,spline,0.29975767466494024,0.019955074915669224,5.0,,,
Rest,spline,0.30873514037436406,0.029068502845018607,5.0,,,
Rest,spline,0.31771260608378793,0.038387940785661157,5.0,,,
Rest,spline,0.32669007179321174,0.047898880648591935,5.0,,,
Rest,spline,0.3356675375026356,0.057586814344806614,5.0,,,
Rest,spline,0.34464500321205943,0.06743723378530014,5.0,,,
Rest,spline,0.3536224689214833,0.07743563088106803,5.0,,,
Rest,spline,0.3625999346309072,0.08756749754310544,5.0,,,
Rest,spline,0.371577400340331,0.09781832568240756,5.0,,,
Rest,spline,0.38055486604975486,0.10817360720996977,5.0,,,
Rest,spline,0.3895323317591787,0.11861883403678736,5.0,,,
Rest,spline,0.39850979746860254,0.1291394980738556,5.0,,,
Rest,spline,0.40748726317802636,0.13972109123216975,5.0,,,
Rest,spline,0.41646472888745023,0.150349105422725,5.0,,,
Rest,spline,0.42544219459687405,0.1610090325565166,5.0,,,
Rest,spline,0.4344196603062979,0.17168636454454017,5.0,,,
Rest,spline,0.44339712601572173,0.18236659329779048,5.0,,,
Rest,spline,0.45237459172514555,0.19303521072726326,5.0,,,
Rest,spline,0.4613520574345695,0.20367770874395358,5.0,,,
Rest,spline,0.4703295231439933,0.2142795792588565,5.0,,,
Rest,spline,0.4793069888534171,0.2248263141829676,5.0,,,
Rest,spline,0.4882844545628409,0.235303405427282,5.0,,,
Rest,spline,0.49726192027226485,0.24569634490279524,5.0,,,
Rest,spline,0.5062393859816887,0.2559913254000565,5.0,,,
Rest,spline,0.5152168516911124,0.26618190317811263,5.0,,,
Rest,spline,0.5241943174005363,0.2762660374334503,5.0,,,
Rest,spline,0.5331717831099603,0.2862417465945151,5.0,,,
Rest,spline,0.542149248819384,0.29610704908975277,5.0,,,
Rest,spline,0.5511267145288079,0.30585996334760945,5.0,,,
